author,title,source_label,source_link,serial_name,serial_part,blurb,bio
Edward Heffernan,Weird Laments,"Volume 1, issue 1",/PDFs/Volume01/Volume 01 issue 01--WeirdLaments.pdf,,,,
Cory Reeve,Prom Night,"Volume 2, issue 1",/PDFs/Volume02/Volume 02 issue 01--PromNight.pdf,,,,
Andrea Chrisman,"The Faerie Kitchen, part 1","Volume 2, issue 2","/PDFs/Volume02/Volume 02 issue 02--FaerieKitchen, pt 1.pdf",,1,,
Andrea Chrisman,"The Faerie Kitchen, part 2","Volume 2, issue 3","/PDFs/Volume02/Volume 02 issue 03--FaerieKitchen, pt 2.pdf",,2,,
Robert Mac Kay,"Cadence, part 1","Volume 3, issue 1","/PDFs/Volume03/Volume 03 issue 01--Cadence, pt 1.pdf",Cadence,1,,
Robert Mac Kay,"Cadence, part 2","Volume 3, issue 2","/PDFs/Volume03/Volume 03 issue 02--Cadence, pt 2.pdf",Cadence,2,,
Robert Mac Kay,"Cadence, part 3","Volume 3, issue 3","/PDFs/Volume03/Volume 03 issue 03--Cadence, pt 3.pdf",Cadence,3,,
Edward Heffernan,Choices,"Volume 4, issue 1",/PDFs/Volume04/Volume 04 issue 01--Samhain.pdf,,,,
Adrian Rossi,Crimson Roses for Mary,"Volume 4, issue 1",/PDFs/Volume04/Volume 04 issue 01--Samhain.pdf,,,,
Steven Bailey,The Day the Snow Fell,"Volume 4, issue 1",/PDFs/Volume04/Volume 04 issue 01--Samhain.pdf,,,,
Edward Heffernan,Fibber McGee,"Volume 4, issue 1",/PDFs/Volume04/Volume 04 issue 01--Samhain.pdf,,,,
Barbara Ann Flowerday,Grim Realization,"Volume 4, issue 1",/PDFs/Volume04/Volume 04 issue 01--Samhain.pdf,,,,
J.M. Segriff,Too Mant Feet to Bother Counting Heads,"Volume 5, issue 1",/PDFs/Volume05/Volume 05 issue 01.pdf,,,,"J.M. Segriff has self-published numerous books since 1986 and has appeared in more than 150 publications including: ArtVoice, Asterisk, Aura Literary/Arts Review, Explorer Magazine, Families, Fine Arts Press, Fuel Magazine, Generation, LitMag, Haight Ashbury Literary Journal, Maturity Today, Modern Images, New Voices, and Voices International. https://www.montclair.edu/arts/2023/02/10/making-time-for-more-degrees"
Edward Heffernan,Gum & Tits,"Volume 5, issue 1",/PDFs/Volume05/Volume 05 issue 01.pdf,,,,
J.M. Segriff,Dick Worries,"Volume 5, issue 2",/PDFs/Volume05/Volume 05 issue 02.pdf,,,,
Kyle Mawhiney,Sunset on Rosio Beach,"Volume 5, issue 3",/PDFs/Volume05/Volume 05 issue 03--Halloween.pdf,,,,Kyle was a student at Monroe Community College and winner of Hell's Kitchen's 1998 Halloween Story Contest.
Kyle Mawhiney,A Faith in Love,"Volume 5, issue 3",/PDFs/Volume05/Volume 05 issue 03--Halloween.pdf,,,,
Barbara Ann Flowerday,Witch's Ball,"Volume 5, issue 3",/PDFs/Volume05/Volume 05 issue 03--Halloween.pdf,,,,
J.M. Segriff,Bad Giraffe,"Volume 6, issue 1",/PDFs/Volume06/Volume 06 issue 01.pdf,,,,
Jason Paul Fox,The Quarry,"Volume 6, issue 1",/PDFs/Volume06/Volume 06 issue 01.pdf,,,,"Jason Paul Fox (1970-) was raised in Rochester, NY by a pack of wild lesbians. He was a child prodigy and attended Simon's Rock College, with a major in English, when he was only 15. In the beginning of the 1990's, he ran the almost very successful literary publication, Millenium Broadside (the second 'n' is missing on purpose and it was at a time when Y2K wasn't even a blip on society's collective radar) before a series of quick moves to and from Boston made his life too unstable to continue it.

He is a poet, graphic artist, musician, and philosopher. Jason is about as old-school in the Rochester artist's scene as you can get, having logged more party hours than a decrepted hard-lined communist and consuming just about as much vodka."
J.M. Segriff,Neighborhood General,"Volume 6, issue 2",/PDFs/Volume06/Volume 06 issue 02.pdf,,,,
Luc Thiers,Eddy Gordo Wins!,"Volume 7, issue 1",/PDFs/Volume07/Volume 07 issue 01.pdf,,,,"Luc Thiers lives in Rochester, NY where he once ran a popular open mic poetry night at Java's. https://wayofm.org/hosts/luc-thiers"
J.M. Segriff,Megade(a)th Jr. Stands at the Hippie Shop,"Volume 7, issue 1",/PDFs/Volume07/Volume 07 issue 01.pdf,,,,
B. Edward Barrett,I: It's A Strange Invitation,"Volume 7, issue 1",/PDFs/Volume07/Volume 07 issue 01.pdf,Panic and Revulsion in Washington D.C.,1,,"B. Edward Barrett was born in 1972 and lives in Rochester, NY. He was the editor of Cereal Magazine, a concert roadie, graphic artist, bohemic-living synchronisity guru and student at Monroe Community College where he studied Communication and Computer Science, and was the associate editor of Cabbages and Kings Literary Magazine. He is also a musician, photographer, a conspirator for the upcoming revolution and a connoisseur of fine coffee. Son of Norman and Sara, who met on the steps of the Capitol Building in Washington D.C. when they were a Navy photographer and FBI file clerk, named partially after a building nearby where the Grand Jury resides and raised in a Masonic Temple, Barrett has always felt a strange kinship to the D.C. area, politics and covert activity. http://brianebarrett.com/

Favorite authors include: Kurt Vonnegut Jr, Douglas Adams, Honore de Balzac, Guy de Maupausaunt, Ray Bradbury, Frederik Pohl, Shel Siverstein, Leo Tolstoy, William Gibson, William S. Burroughs, and Franz Kafka."
Garrett Kramer,The 13th Angry Viewer,"Volume 7, issue 2",/PDFs/Volume07/Volume 07 issue 02.pdf,,,,"Garrett Kramer (aged 20) was the son of two loving parents, George and Deborah Kramer. Before his passing last July, Garrett was working on being carded in every bar in Rochester and getting slapped by every call girl in Syracuse. His goal would have been accomplished if not for John Stamos and his fitting revenge on his most vaunted critic. Garrett's last words were ""the horror..."" in reference to the last movie he saw ""Dunston Checks in... to Club Med."" Services will not be held as Garrett's animated corpse can be seen working almost every night."
B. Edward Barrett,II: We Are Full Service of Borg,"Volume 7, issue 2",/PDFs/Volume07/Volume 07 issue 02.pdf,Panic and Revulsion in Washington D.C.,2,,
Mike Eccher,Thanksgiving Day '95,"Volume 7, issue 2",/PDFs/Volume07/Volume 07 issue 02.pdf,,,,"Mike Eccher is an enigma. No real bio is available at this time, just conjecture and speculation. What little has been gathered is that he grew up near Chicago, lives somewhere in Rochester, NY, attends a respectable Catholic college and, according to sources claiming to be neighbors, likes to monotonally scream Bruce Springstein lyrics in the shower with just a hint of irony. Rumors of him appearing in a Calvin Klein ad are still yet to be confirmed or dismissed."
Luc Thiers,Engineering,"Volume 7, issue 2",/PDFs/Volume07/Volume 07 issue 02.pdf,,,,
Jason Paul Fox,Hypothermia,"Volume 7, issue 3",/PDFs/Volume07/Volume 07 issue 03.pdf,,,,
David Holzel,"Kafka Gets Laid, part 1","Volume 7, issue 3",/PDFs/Volume07/Volume 07 issue 03.pdf,Kafka Gets Laid,1,,"David Holzel is a writer and editor living somewhere near Washington, D.C. He studied mass communications at the University of Michigan, has lived in Jerusalem and Atlanta, was managing editor of Moment Magazine, and is looking forward to the millennium about as much as he's looking back to the last. His webzine, The Jewish Angle, tries hard to make sense of this zany world. https://davidwrotethis.wordpress.com"
B. Edward Barrett,III: If I Could Put Lime in a Bottle,"Volume 7, issue 3",/PDFs/Volume07/Volume 07 issue 03.pdf,Panic and Revulsion in Washington D.C.,3,,
Marisa Brandt,Lost on 95,"Volume 7, issue 4",/PDFs/Volume07/Volume 07 issue 04.pdf,,,,"Marisa was born on Reagan's birthday, 1982. She first began reading to public audiences at the age of 15 and has been an active participant in the Rochester, NY spoken word scene ever since. Marisa also won first prize for poetry in the 1999 Sokol High School Literary Awards, sponsored by the Friends of the Rochester Public Library.

She is a pretty moody girl. She likes to draw comics, listen to ""good"" music, watch off-beat movies, pretend she can belly-dance and throw black olives at the cars that don't stop at the stopsign in front of her house. She reads an awful lot. She is very happy to have overcome a long bout of adolescence which has been plaguing her for several years."
B. Edward Barrett,IV: Valerie Stardust,"Volume 7, issue 4",/PDFs/Volume07/Volume 07 issue 04.pdf,Panic and Revulsion in Washington D.C.,4,,
David Holzel,"Kafka Gets Laid, part 2","Volume 7, issue 4",/PDFs/Volume07/Volume 07 issue 04.pdf,Kafka Gets Laid,2,,
Luc Thiers,Sammy Potkin's Easter Bloodbath O' Sin,"Volume 7, issue 4",/PDFs/Volume07/Volume 07 issue 04.pdf,,,,
Kyle Mawhiney,Duty and Self,"Volume 7, issue 5",/PDFs/Volume07/Volume 07 issue 05.pdf,,,,
Luc Thiers,Cellphone,"Volume 7, issue 5",/PDFs/Volume07/Volume 07 issue 05.pdf,,,,
B. Edward Barrett,V: Laughing All the Way From the Bank,"Volume 7, issue 5",/PDFs/Volume07/Volume 07 issue 05.pdf,Panic and Revulsion in Washington D.C.,5,,
Jason Paul Fox,The Wild Life,"Volume 7, issue 6",/PDFs/Volume07/Volume 07 issue 06.pdf,,,,
Andrew Stankevich,The Televised Holocaust,"Volume 7, issue 6",/PDFs/Volume07/Volume 07 issue 06.pdf,,,,"Andrew Stankevich was a coordinator for the Rochester, NY chapter of Food Not Bombs, an anarchistic service that provides vegetarian food, punk music and a powerful political message for anyone who wants them. https://www.roccitymag.com/news-opinion/need-to-feed-2128476"
B. Edward Barrett,VI: The Hotel Chloroformia (Valerie Reprise),"Volume 7, issue 6",/PDFs/Volume07/Volume 07 issue 06.pdf,Panic and Revulsion in Washington D.C.,6,,
Kyle Mawhiney,"Life with Syzyx, Part III: The Rescue","Volume 7, issue 6",/PDFs/Volume07/Volume 07 issue 06.pdf,,,,
Luc Thiers,Toaster Oven ,"Volume 7, issue 6",/PDFs/Volume07/Volume 07 issue 06.pdf,,,,
Luc Thiers,Irrelevancy,"Volume 8, issue 1",/PDFs/Volume08/Volume 08 issue 01.pdf,,,,
Garrett Kramer,The Ex-Communication,"Volume 8, issue 1",/PDFs/Volume08/Volume 08 issue 01.pdf,,,,
B. Edward Barrett,VII: Washintussin DM: Obey Your Thirst,"Volume 8, issue 1",/PDFs/Volume08/Volume 08 issue 01.pdf,Panic and Revulsion in Washington D.C.,7,,
Marisa Brandt,Words Escape Me,"Volume 8, issue 1",/PDFs/Volume08/Volume 08 issue 01.pdf,,,,
James Seti,Who is Alive?,"Volume 8, issue 2",/PDFs/Volume08/Volume 08 issue 02.pdf,,,,"James Seti was born far away and a long time ago. No one knows where he's from. He keeps quiet about such matters.

He attended Monroe Community College (for its affordable tuition; it's hard to find a decent paying job when you're an illegal alien, except for maybe Kirby Salesman) where he studied Art and Philosophy and occasionally wrote for MCC's Monroe Doctrine."
Marisa Brandt,Diabla on a hate rant ,"Volume 8, issue 2",/PDFs/Volume08/Volume 08 issue 02.pdf,,,,
B. Edward Barrett,VIII: Bakin' Scare of Dizz'ness,"Volume 8, issue 2",/PDFs/Volume08/Volume 08 issue 02.pdf,Panic and Revulsion in Washington D.C.,8,,
Jason Paul Fox,Words,"Volume 8, issue 2",/PDFs/Volume08/Volume 08 issue 02.pdf,,,,
